GermplasmName,RKN,FW,GH SSR,Field SSR
NC11-0036,,1,,
NC11-0040,,0,,
NC11-0041,,2,,1
NC11-0041,2,2,0,
NC11-0057,,2,,1
NC11-0057,3,3,0,
NC11-0064,,1,,2
NC11-0065,,3,,
NC11-0068,,0,,
NC11-0070,,1,,3
NC11-0073,,1,,
NC11-0074,,3,,1
NC11-0074,,3,2,1
NC11-0075,,0,,
NC11-0076,,1,,
NC11-0084,,1,,3
NC11-0085,,0,,
NC11-0088,,1,,
NC11-0097,,3,,1
NC11-0097,0,3,4,
NC11-0109,,1,,2
NC11-0109,0,0,3,
NC11-0120,,3,,1
NC11-0120,0,1,2,
NC11-0135,,2,,3
NC11-0139,,3,,2
NC11-0141,,1,,2
NC11-0144,,4,,
NC11-0146,,4,,
NC11-0167,,3,,2
NC11-0180,,3,,1
NC11-0180,2,1,0,
NC11-0194,,1,,
NC11-0195,,0,,
NC11-0202,,1,,
NC11-0206,,2,,
NC11-0209,,0,,3
NC11-0209,3,0,2,
NC11-0228,,3,,
NC11-0231,,3,,
NC11-0234,,3,,2
NC11-0234,2,3,3,3
NC11-0234,1,4,4,4
NC11-0234,2,3,,3
NC11-0234M10_G2,3,3,,
NC11-0234M19_G2,3,3,,
NC11-0234M9_G2,2,3,,
NC11-0237,,3,,
NC11-0238,,3,,
NC11-0239,,3,,
NC11-0241,,2,,
NC11-0243,,0,,3
NC11-0243,2,0,1,
NC11-0248,,1,,1
NC11-0248,3,0,1,
NC11-0255,,3,,
NC11-0262,,3,,
NC11-0262,3,2,2,
NC11-0263,,0,,
NC11-0265,,1,,
NC11-0265,1,3,0,1
NC11-0266,,2,,
NC11-0267,,3,,
NC11-0268,,1,,
NC11-0274,,3,,
NC11-0275,,0,,
NC11-0275,2,0,2,
NC11-0298,,0,,
NC11-0310,,3,,
NC11-0316,,1,,
NC11-0320,,0,,
NC11-0321,,0,,
NC11-0335,,2,,
NC11-0341,,4,,
NC11-0351,,1,,
NC11-0352,,1,,
NC11-0354,,1,,
NC11-0354,4,0,2,
NC11-0362,,0,,3
NC11-0362,,0,3,
NC11-0370,1,3,3,2
NC11-0370,1,3,3,
NC11-0372,1,3,3,3
NC11-0395,1,3,3,2
NC11-0479,3,2,3,0
NC11-0493,3,2,2,1
NC11-0493,3,1,2,
NC11-0505,4,1,0,
NC11-0508,0,1,2,
NC11-0521,,0,,
NC11-0533,3,1,3,
NC11-0602,,,,0
NC11-0609,4,2,3,2
NC11-0609,,,,0
NC11-0632,0,2,1,3
NC11-0632,1,3,0,
NC11-0641,3,1,3,3
NC11-0641,,2,3,1
NC11-0643,,0,3,
NC11-0655,1,2,2,0
NC11-0655,1,0,2,
NC11-0661,,0,,0
NC11-0714,1,2,1,
NC11-0730,3,0,0,2
NC11-0730,,1,0,1
NC11-0738,0,2,1,
NC11-0761,1,2,1,
NC11-0777,3,0,2,
NC11-0779,3,0,2,
NC11-0786,4,2,1,
NC11-0797,,1,,1
NC11-0797,,1,1,
NC11-0805,4,1,3,3
NC11-0805,,3,3,0
NC11-0805,3,3,3,
NC11-0825,3,0,3,3
NC11-0825,,0,3,2
NC11-0856,3,2,0,
NC11-0863,3,2,3,2
NC11-0863,3,2,1,0
NC11-0863,3,0,2,
NC11-0925,0,0,2,
NC11-0957,3,0,2,
NC11-0959,3,0,2,3
NC11-0959,3,0,1,
NC11-0970,0,2,1,3
NC11-0970,0,1,1,
NC11-0979,2,0,0,
NC11-0980,4,1,2,3
NC11-0980,3,0,1,
NC11-0982,4,4,3,1
NC11-0982,4,3,3,
NC11-0983,3,1,1,2
NC11-0983,4,1,2,
NC11-0999,2,1,2,2
NC11-0999,4,0,1,3
NC11-1000,0,2,3,
NC11-1003,,2,2,
NC11-1004,,0,,1
NC11-1056,4,0,1,
NC11-1078,,0,0,
NC11-1108,4,1,0,0
NC11-1108,4,0,0,
NC11-1152,3,1,0,
NC11-1180,0,0,3,3
NC11-1191,0,0,2,2
NC11-1240,,2,,
NC11-1246,1,3,3,2
NC11-1246,0,2,2,
NC11-1247,,0,,3
NC11-1247,,0,,2
NC11-1250,0,3,3,
NC11-1261,,0,3,
NC11-1264,,2,2,3
NC12-0003,,3,,
NC12-0009,,3,,3
NC12-0011,,0,,
NC12-0026,,1,,
NC12-0029,,3,,3
NC12-0029,0,3,3,
NC12-0029,0,2,4,
NC12-0030,0,1,2,
NC12-0035,,1,,
NC12-0036,,3,,
NC12-0037,,0,,
NC12-0042,,4,,
NC12-0045,,1,,
NC12-0049,,1,,
NC12-0051,,2,,2
NC12-0051,0,1,4,
NC12-0052,,3,,3
NC12-0052,0,3,0,
NC12-0055,,3,,
NC12-0060,,2,,
NC12-0067,,3,,
NC12-0070,,3,,3
NC12-0070,1,4,2,
NC12-0076,,2,,2
NC12-0089,,3,,
NC12-0091,,0,,
NC12-0094,,3,,
NC12-0096,,1,,
NC12-0102,,3,,
NC12-0103,,3,,
NC12-0106,,2,,
NC12-0107,,0,,
NC12-0123,,2,,
NC12-0129,,3,,2
NC12-0134,,0,,
NC12-0137,,0,,
NC12-0140,,3,,
NC12-0151,,0,,
NC12-0165,,0,,
NC12-0168,,1,,
NC12-0187,,4,,
NC12-0188,,3,,1
NC12-0190,,0,,0
NC12-0191,,0,,
NC12-0198,,0,,
NC12-0202,,,,3
NC12-0203,,2,,
NC12-0205,,1,,0
NC12-0209,,0,,
NC12-0212,,0,,0
NC12-0218,,0,,
NC12-0220,,2,,
NC12-0228,,0,,
NC12-0236,,4,,
NC12-0246,,1,,
NC12-0247,,1,,
NC12-0249,,2,,
NC12-0255,,0,,
NC12-0257,,3,,
NC12-0258,,0,,1
NC12-0259,,1,,
NC12-0262,,0,,
NC12-0267,,4,,
NC12-0268,,3,,
NC12-0271,,2,,
NC12-0274,,3,,
NC12-0281,,1,,
NC12-0282,,3,,
NC12-0284,,2,,
NC12-0289,,3,,
NC12-0292,,0,,
NC12-0295,,1,,
NC12-0309,,3,,
NC12-0309,3,0,0,
NC12-0311,,2,,2
NC12-0332,,2,,
NC12-0347,0,4,4,
NC12-0381,,3,,
NC12-0539,3,0,0,
NC12-0539,3,2,2,
NC12-0539,,2,,0
NC12-0539,3,3,,
NC12-0540 ,,0,0,
NC12-0576,,2,,1
NC12-0580 ,,1,3,
NC12-0589 ,,2,,
NC12-0591,0,4,2,
NC12-0597 ,,2,,
NC12-0602 ,,0,,
NC12-0641,4,2,0,
NC12-0641,3,3,1,3
NC12-0641,,2,,
NC12-0665,,0,,
NC12-0665,3,0,0,
NC12-0665,0,1,2,
NC12-0675,,0,,0
NC12-0682,,4,,2
NC12-0684,3,0,0,
NC12-0693,3,0,1,
NC12-0715,,1,,
NC12-0723,,4,,1
NC12-0723,1,3,2,
NC12-0745,0,0,1,
NC12-0745,0,0,3,
NC12-0746,4,2,0,
NC12-0746,4,2,0,1
NC12-0764,,,,0
NC12-0793,,3,,3
NC12-0793,3,3,1,
NC12-0800,,0,,
NC12-0800,1,2,0,
NC12-0801,,0,,
NC12-0803,,3,,
NC12-0803,0,1,2,
NC12-0809,0,1,0,
NC12-0829,,1,,2
NC12-0829,3,2,3,
NC12-0830,1,2,1,
NC12-0839,3,3,1,
NC12-0839,3,3,0,
NC12-0865,,0,,
NC12-0910,3,3,2,
NC12-0910,3,0,2,
NC12-0926,1,0,1,
NC12-0933,,3,,
NC12-0934,1,4,3,2
NC12-0934,1,4,2,2
NC12-0938,,2,,
NC12-0938,2,1,1,
NC12-0943,,0,,
NC12-0948,,2,,3
NC12-0948,2,3,3,
NC12-0959,,3,,
NC12-0959,3,3,2,
NC12-1060,,1,,
NC12-1149,,3,,3
NC12-1149,1,3,2,
NC12-1149,1,2,3,2
NC12-1195,3,3,3,
NC13-0005,,3,,
NC13-0005,1,4,2,2
NC13-0005,4,3,,3
NC13-0011,1,3,3,
NC13-0013,3,2,3,3
NC13-0013,2,1,,3
NC13-0017,1,1,1,3
NC13-0017,0,2,3,3
NC13-0017,,3,,
NC13-0051,3,3,0,
NC13-0065,,3,,
NC13-0067,3,1,0,
NC13-0067,4,0,2,
NC13-0078,,3,,
NC13-0099,,0,,
NC13-0100,0,2,3,1
NC13-0100,0,3,,1
NC13-0128,,0,,
NC13-0133,,2,,
NC13-0150,3,1,0,3
NC13-0150,2,2,2,4
NC13-0150,,3,,
NC13-0151,,3,,
NC13-0151,2,3,2,3
NC13-0151,2,3,,3
NC13-0153,,0,,
NC13-0157,0,3,2,
NC13-0158,0,2,1,3
NC13-0160,0,1,0,
NC13-0160,2,2,0,2
NC13-0163,1,1,0,
NC13-0163,0,2,0,
NC13-0168,3,0,1,
NC13-0168,3,0,1,
NC13-0175,,4,,
NC13-0184,,0,,
NC13-0184,4,1,,
NC13-0187,2,3,2,
NC13-0189,,3,,
NC13-0199,,4,,
NC13-0204,,2,,
NC13-0204,3,3,3,
NC13-0215,2,0,3,
NC13-0222,4,2,0,
NC13-0222,2,2,0,
NC13-0229,,1,,
NC13-0254,0,1,3,1
NC13-0254,2,3,,2
NC13-0254,2,0,,
NC13-0273,,2,,
NC13-0277,,4,,
NC13-0280,,4,,
NC13-0280,0,4,3,
NC13-0280,0,3,,
NC13-0292,,4,,
NC13-0297,,2,,
NC13-0301,3,1,2,
NC13-0304,,2,,
NC13-0312,,0,,
NC13-0322,,1,,
NC13-0332,,1,,
NC13-0332,0,0,3,
NC13-0333,3,3,2,
NC13-0333,2,2,0,3
NC13-0333,,2,,
NC13-0335,1,3,1,
NC13-0368,,0,,
NC13-0370,,2,,
NC13-0370,1,1,1,0
NC13-0383,,2,,
NC13-0383,2,2,1,2
NC13-0383,2,3,,2
NC13-0390,,4,,
NC13-0410,,2,,
NC13-0410,1,3,3,
NC13-0420,,4,,
NC13-0481,,2,,
NC13-0490,,2,,
NC13-0490,3,3,2,2
NC13-0490,3,3,,2
NC13-0496,0,1,3,3
NC13-0496,1,3,,
NC13-0497,,2,,
NC13-0508,4,1,3,3
NC13-0515,,1,,
NC13-0530,1,3,3,
NC13-0544,,3,,
NC13-0604,3,2,3,
NC13-0604,3,1,2,3
NC13-0611,,2,,
NC13-0613,,3,,
NC13-0613,2,2,4,
NC13-0613,2,3,,1
NC13-0614,,3,,
NC13-0639,0,0,1,
NC13-0672,,0,,
NC13-0724,,2,,
NC13-0747,,1,,
NC13-0748,,2,,
NC13-0768,,0,,
NC13-0775,,3,,
NC13-0794,,0,,
NC13-0809,,3,,
NC13-0810,,0,,
NC13-0821,,3,,
NC13-0821,2,3,1,0
NC13-0825,,2,,
NC13-0825,2,1,0,
NC13-0828,3,3,0,0
NC13-0831,,1,,
NC13-0831,2,0,0,
NC13-0835,,0,,
NC13-0835,0,0,0,
NC13-0842,,2,,
NC13-0909,3,1,3,3
NC13-0909,4,3,,2
NC13-0909,4,2,,
NC13-0934,0,3,3,
NC13-0977,,1,,0
NC13-0977,1,0,,
NC13-0992,2,0,2,3
NC13-0992,3,1,,3
NC13-0994,0,2,2,
NC13-0994A,0,3,0,2
NC13-0994A,1,3,,
NC13-0994B,3,4,1,
NC13-1000,0,3,0,
NC13-1001,0,1,1,
NC13-1001,0,0,2,3
NC13-1001,,2,,2
NC13-1004,0,3,1,
NC13-1004,0,3,2,2
NC13-1004,,3,,1
NC13-1006,0,3,1,
NC13-1006,0,2,2,3
NC13-1006,,2,,
NC13-1007,2,4,1,
NC13-1007,2,2,2,2
NC13-1010,2,1,0,
NC13-1010,2,1,3,3
NC13-1012,0,3,0,
NC13-1012,0,1,1,2
NC13-1014,3,1,0,
NC13-1014,3,2,1,2
NC13-1016,0,2,0,
NC13-1019,1,2,1,
NC13-1019,0,2,3,
NC13-1022,2,4,2,
NC13-1024,0,3,0,
NC13-1027,3,3,1,
NC13-1027,3,2,3,3
NC13-1027,,2,,2
NC13-1037,0,0,1,
NC13-1042,0,2,1,
NC13-1042,0,0,2,1
NC13-1043,2,2,0,
NC13-1043,3,3,1,0
NC13-1043,,1,,
NC13-1048,1,3,0,
NC13-1087,2,3,3,3
NC13-1142,3,2,1,0
NC13-1155,3,3,0,
NC13-1161,3,2,2,3
NC13-1161,4,1,,2
NC13-1169,4,2,2,1
NC13-1169,4,3,,0
NC13-1259,3,4,1,0
NC13-1259,3,3,,2
NC13-1259,3,3,,2
NC13-1347,1,4,0,
NC13-1384,0,2,0,
NC14-0002,,4,,
NC14-0010,,4,,1
NC14-0010,3,3,,
NC14-0011,,3,,
NC14-0014,,2,,4
NC14-0014,1,1,,2
NC14-0014   ,2,0,,
NC14-0024,,4,,1
NC14-0025,0,3,2,3
NC14-0027,3,2,0,
NC14-0033,,3,,
NC14-0045,,3,,
NC14-0056,,3,,
NC14-0070,,0,,
NC14-0086,,3,,
NC14-0107,3,3,3,
NC14-0118,2,3,0,0
NC14-0118,,3,,1
NC14-0118   ,3,4,,
NC14-0127,,4,,
NC14-0129,,2,,3
NC14-0129,,3,,4
NC14-0129   ,4,3,,
NC14-0134,,1,,3
NC14-0134,,0,,3
NC14-0134   ,4,0,,
NC14-0154,,2,,
NC14-0156,,3,,
NC14-0159,,1,,
NC14-0164,,3,,
NC14-0175,,3,,
NC14-0189,3,2,1,
NC14-0195,,2,,
NC14-0211,,3,,
NC14-0253,,3,,
NC14-0274,,0,,4
NC14-0288,,3,,
NC14-0291,,3,,1
NC14-0291,,3,,3
NC14-0294,,3,,
NC14-0315,,3,,
NC14-0333,,3,,0
NC14-0334,,3,,0
NC14-0334,,2,,
NC14-0341,,2,,1
NC14-0341,,3,,2
NC14-0341,4,3,,
NC14-0351,,1,,
NC14-0353,,4,,
NC14-0353,3,4,,2
NC14-0353,3,3,,
NC14-0358,,1,,1
NC14-0358,3,1,,4
NC14-0358,3,0,,
NC14-0364,,0,,
NC14-0391,,2,,
NC14-0423,2,0,2,3
NC14-0423,,0,,
NC14-0425,3,1,2,
NC14-0433,,2,,
NC14-0466,,3,,1
NC14-0468,,3,,
NC14-0480,,0,,0
NC14-0480,,0,,
NC14-0484,,3,,
NC14-0486,,3,,2
NC14-0502,,3,,
NC14-0511,,1,,
NC14-0512,,2,,
NC14-0531,,3,,
NC14-0551,,0,,
NC14-0569,,0,,3
NC14-0569,,1,,3
NC14-0580,,2,,3
NC14-0586,,0,,
NC14-0589,,0,,4
NC14-0589,,0,,4
NC14-0589   ,3,0,,
NC14-0592,,1,,
NC14-0605,,0,,
NC14-0611,,0,,
NC14-0612,,0,,
NC14-0612,,0,,3
NC14-0619,,0,,
NC14-0620,,0,,
NC14-0622,,0,,
NC14-0645,,3,,
NC14-0661,,0,,
NC14-0667,,3,,
NC14-0670,,0,,
NC14-0684,,2,,
NC14-0703,,2,,
NC14-0703,,3,,3
NC14-0708,,2,,2
NC14-0708,3,1,,
NC14-0720,,1,,
NC14-0722,,1,,
NC14-0726,,0,,
NC14-0728,,3,,
NC14-0740,,0,,
NC14-0741,,0,,
NC14-0747,,2,,
NC14-0750,,2,,
NC14-0756,,0,,
NC14-0782,,0,,
NC15-0001,,2,,
NC15-0001   ,4,2,,
NC15-0005,,3,,
NC15-0005   ,1,3,,
NC15-0006,,4,,
NC15-0010,,4,,
NC15-0010   ,3,2,,
NC15-0011,,3,,
NC15-0011  ,3,4,,
NC15-0014,,3,,
NC15-0020,,2,,
NC15-0020   ,4,2,,
NC15-0033,,3,,
NC15-0036   ,3,4,,
NC15-0037,3,2,,
NC15-0037   ,4,3,,
NC15-0038,,2,,
NC15-0054   ,0,2,,
NC15-0055,,3,,
NC15-0068,,0,,
NC15-0071,,2,,
NC15-0072,,3,,
NC15-0087   ,4,4,,
NC15-0091   ,1,2,,
NC15-0098,,2,,
NC15-0100,,3,,
NC15-0101,,3,,
NC15-0109,,3,,
NC15-0110,,2,,
NC15-0119,,3,,
NC15-0119   ,4,3,,
NC15-0120,,3,,
NC15-0120   ,3,3,,
NC15-0130,,3,,
NC15-0130,,3,,
NC15-0131,,3,,
NC15-0133,,3,,
NC15-0134   ,1,3,,
NC15-0135,,0,,
NC15-0141,,3,,
NC15-0141,,3,,
NC15-0152,,2,,2
NC15-0152   ,0,2,,
NC15-0180   ,4,4,,
NC15-0185,,3,,4
NC15-0185   ,0,3,,
NC15-0203,,3,,
NC15-0231   ,0,0,,
NC15-0232,,0,,
NC15-0244,,0,,3
NC15-0252,,3,,2
NC15-0257,3,0,,
NC15-0257   ,3,0,,
NC15-0278,,3,,
NC15-0328,0,2,,
NC15-0328   ,1,0,,
NC15-0350,3,4,,
NC15-0350   ,4,2,,
NC15-0363   ,4,0,,
NC15-0383,,3,,
NC15-0418,,3,,3
NC15-0441,,0,,
NC15-0443,,0,,
NC15-0480,3,4,,
NC15-0480,3,4,,3
NC15-0480   ,4,3,,
NC15-0557   ,4,0,,
NC15-0558,,0,,
NC15-0592,,2,,
NC15-0607,,2,,2
NC15-0607   ,4,0,,
NC15-0612,,3,,
NC15-0633,3,3,,
NC15-0633,4,4,,1
NC15-0633   ,4,3,,
NC15-0647,,3,,
NC15-0650,3,3,,
NC15-0650,4,4,,
NC15-0653,,3,,2
NC15-0659,3,2,,
NC15-0659,3,4,,
NC15-0667,3,2,,
NC15-0691,,0,,2
NC15-0691,4,0,,
NC15-0728,,2,,3
NC15-0728,3,2,,0
NC15-0728,,2,,
NC15-0728A,3,0,,
NC15-0728B,3,1,,
NC15-0728B,3,1,,2
NC15-0728B,,1,,
NC15-0730,,2,,
NC15-0750,3,0,,
NC16-0038,,0,,
NC16-0038,1,1,,
NC16-0055,3,3,,
NC16-0056,3,4,,
NC16-0063,3,4,,
NC16-0064,,3,,
NC16-0097,4,3,,
NC16-0103,4,0,,
NC16-0103,3,2,,
NC16-0104,3,3,,
NC16-0113,3,4,,
NC16-0120,,1,,
NC16-0157,,3,,
NC16-0165,2,3,,
NC16-0173,3,4,,
NC16-0193,,2,,
NC16-0193,3,1,,2
NC16-0193,,0,,
NC16-0201,,0,,
NC16-0204,3,3,,
NC16-0208,3,4,,
NC16-0208,3,3,,
NC16-0245,0,3,,
NC16-0254,,0,,
NC16-0301,,0,,
NC16-0303,,2,,
NC16-0303,3,3,,
NC16-0304,2,0,,
NC16-0307,3,3,,
NC16-0315,,1,,
NC16-0315,1,2,,
NC16-0315,0,2,,
NC16-0320,3,3,,
NC16-0321,,0,,
NC16-0334,,2,,
NC16-0339,,0,,
NC16-0339,3,1,,
NC16-0361,,2,,
NC16-0364,,3,,
NC16-0364,0,4,,
NC16-0364,2,3,,3
NC16-0364,,3,,
NC16-0374,,0,,
NC16-0379,,2,,
NC16-0379,0,3,,
NC16-0388,,0,,
NC16-0389,,2,,
NC16-0391,3,2,,
NC16-0401,,1,,
NC16-0401,3,3,,
NC16-0413,,2,,
NC16-0413,3,3,,
NC16-0413,4,3,,
NC16-0484,4,3,,
NC16-0498,3,3,,
NC16-0521,,1,,
NC16-0558,3,3,,
NC16-0558,4,3,,3
NC16-0587,,2,,
NC16-0603,3,3,,
NC16-0607,2,4,,
NC16-0613,3,3,,1
NC16-0613,,2,,
NC16-0614,3,2,,
NC16-0644,,2,,
NC16-0644,4,3,,0
NC16-0644,,2,,
NC16-0645,,0,,
NC16-0653,1,4,,
NC16-0715,0,3,,
NC16-0725,,3,,
NC16-0749,,3,,
NC16-0759,3,3,,
NC16-0765,3,3,,
NC16-0765,4,3,,3
NC16-0769,,0,,
NC16-0769,1,2,,
NC16-0771,3,3,,
NC16-0778,3,3,,
NC16-0789,4,3,,
NC16-0793,3,3,,
NC16-0839,3,1,,
NC16-0842,3,2,,
NC16-0852,,2,,
NC16-0855,,2,,
NC16-0855,3,3,,
NC16-0855,3,3,,2
NC16-0867,,2,,
NC16-0867,0,1,,
NC16-0873,,3,,
NC16-0873,3,3,,
NC16-0873,3,4,,
NC16-0890,3,3,,0
NC16-0892,,2,,
NC16-0892,3,2,,
NC16-0931,3,0,,
NC16-0947,,0,,
NC16-0950,0,4,,
NC16-0955,,0,,
NC16-0968,,1,,
NC16-0978,,0,,
NC16-0979,,0,,
NC17-0015,,4,,
NC17-0027,,3,,
NC17-0027,1,2,,
NC17-0035,,0,,
NC17-0041,4,2,,
NC17-0045,,3,,
NC17-0045,1,3,,1
NC17-0045,,3,,
NC17-0049,,3,,
NC17-0049,2,3,,1
NC17-0049,,1,,
NC17-0051,,2,,
NC17-0052,2,2,,0
NC17-0052,,0,,
NC17-0053,,1,,
NC17-0075,,0,,
NC17-0077,3,2,,2
NC17-0077,,2,,
NC17-0084,,3,,
NC17-0084,1,1,,
NC17-0087,3,1,,
NC17-0088,,4,,
NC17-0101,,3,,
NC17-0101,3,3,,1
NC17-0101,,3,,
NC17-0115,3,3,,
NC17-0129,3,4,,1
NC17-0129,,3,,
NC17-0140,,3,,
NC17-0145,,3,,
NC17-0145,3,4,,0
NC17-0145,,3,,
NC17-0172,4,3,,
NC17-0177,4,1,,
NC17-0257,,4,,
NC17-0257,0,3,,3
NC17-0257,,4,,
NC17-0294,4,2,,
NC17-0308,2,3,,3
NC17-0308,,4,,
NC17-0315,0,2,,
NC17-0331,3,4,,3
NC17-0331,,3,,
NC17-0358,3,3,,
NC17-0367,,3,,
NC17-0379,3,3,,
NC17-0398,3,3,,
NC17-0402,1,3,,3
NC17-0402,,3,,
NC17-0408,3,3,,
NC17-0439,3,4,,
NC17-0439,4,4,,3
NC17-0439,,4,,
NC17-0442,,2,,
NC17-0442,3,3,,
NC17-0452,0,3,,3
NC17-0452,,2,,
NC17-0474,3,2,,3
NC17-0474,,1,,
NC17-0478,3,3,,
NC17-0485,0,3,,
NC17-0500,3,3,,
NC17-0590,3,0,,3
NC17-0590,,1,,
NC17-0592,2,1,,
NC17-0637,3,3,,3
NC17-0637,,3,,
NC17-0661,3,3,,3
NC17-0661,,1,,
NC17-0664,3,4,,0
NC17-0667,3,1,,
NC17-0735,4,#N/A,,
NC17-0735,3,3,,
NC17-0759,3,3,,
NC17-0767,1,3,,
NC17-0784,4,3,,
NC17-0788,3,3,,
NC17-0788,3,3,,
NC17-0799,3,3,,1
NC17-0799,,2,,
NC17-0800,1,3,,
NC18-0001,,3,,
NC18-0006,,,,3
NC18-0006,,1,,
NC18-0010,,,,2
NC18-0014,,1,,
NC18-0034,,2,,
NC18-0036,,,,0
NC18-0054,,,,2
NC18-0054,,2,,
NC18-0074,,,,3
NC18-0075A,,2,,
NC18-0075B,,3,,
NC18-0109,,,,2
NC18-0109,,3,,
NC18-0111,,,,2
NC18-0134,,3,,
NC18-0156,,2,,
NC18-0169,,2,,
NC18-0205,,3,,
NC18-0230,,3,,
NC18-0246,,,,3
NC18-0246,,2,,
NC18-0294,,1,,
NC18-0296,,0,,
NC18-0297,,0,,
NC18-0333,2,0,,2
NC18-0337,,,,1
NC18-0341,,3,,
NC18-0355,,2,,
NC18-0401,,3,,
NC18-0402,,1,,
NC18-0410,,2,,
NC18-0423,,2,,
NC18-0441,,2,,
NC18-0458,,1,,
NC18-0477,,,,0
NC18-0512B,,2,,
NC18-0525,,2,,
NC18-0536,,2,,
NC18-0545,,1,,
NC18-0587,,,,0
NC18-0587,,3,,
NC18-0592,,3,,
NC18-0600,,3,,
NC18-0609,,1,,
NC18-0627,,,,2
NC18-0629,,1,,
NC18-0658,,0,,
NC18-0662,,3,,
NC18-0671,,,,2
NC18-0695,,1,,
NC18-0753,,1,,
NC18-0762,,,,3
NC18-0781,,,,2
NC18-0800,,2,,
NC18-0823,,2,,
NC18-0850,,,,3
NC18-0850,,1,,
NC18-0863,,,,0
NC18-0871,,,,1
NC18-0871,,3,,
NC413,3,3,0,0
NC413,4,1,0,0
NC415,2,0,1,1
NC415,1,0,0,0
NC415 (FFP) ,0,0,0,0
NC416,3,3,0,0
NC416,1,0,3,0
NC607-16 hybrid,,0,,2
NC96-0013,3,4,,
NC98-0024 ,3,3,,
NC98-0061 ,3,4,,
NC98-0063 ,3,3,,
NC98-0342 ,0,4,,
NC98-0608,4,3,3,3
NC98-0608,3,2,3,3
NC98-0608,2,3,3,3
NC98-0608 ,3,3,,
NC99-0012 ,0,0,,
NC99-0026,3,2,1,2
NC99-0026,2,3,0,1
NC99-0026 ,3,3,,
NC99-0026 ,4,3,2,1
NC99-0031 ,1,4,,
NC99-0031 ,2,3,1,0
NC99-0064 ,2,3,,
NC99-0068 ,0,3,,
NC99-0083 ,0,0,,
NC99-0088,4,4,1,2
NC99-0088,3,3,0,0
NC99-0088,2,4,0,1
NC99-0088 ,3,4,,
NC99-0371 ,0,0,,
NC99-0501 ,0,1,,
NC99-0524,3,3,3,2
NC99-0524,0,3,3,2
NC99-0524,0,3,3,3
NC99-0524 ,3,3,,
NC99-0538 ,0,0,,
NC99-0538 ,3,1,3,1
NCDM00-0774,4,2,1,2
NCDM00-0774,3,2,0,
NCDM00-0774 ,3,4,,
