GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
NC11-0508,0.7,1,NC11-0508
NC11-0509,3.5,1,NC11-0509
NC11-0513,1.3,1,NC11-0513
NC11-0516,1.3,1,NC11-0516
NC11-0517,0.4,1,NC11-0517
NC11-0521,1.3,1,NC11-0521
NC11-0522,0.7,2,NC11-0522
NC11-0525,0.8,1,NC11-0525
NC11-0527,1.7,1,NC11-0527
NC11-0533,1.2,1,NC11-0533
NC11-0543,1.7,1,NC11-0543
NC11-0547,2.9,2,NC11-0547
NC11-0548,1.9,2,NC11-0548
NC11-0555,3.2,1,NC11-0555
NC11-0557,1,1,NC11-0557
NC11-0571,1,1,NC11-0571
NC11-0598,3.7,3,NC11-0598
NC11-0599,2,1,NC11-0599
NC11-0601,3.7,2,NC11-0601
NC11-0602,1.1,3,NC11-0602
NC11-0609,3,2,NC11-0609
NC11-0624,3.1,4,NC11-0624
NC11-0630,3,1,NC11-0630
NC11-0632,3.4,7,NC11-0632
NC11-0641,1,6,NC11-0641
NC11-0643,1,4,NC11-0643
NC11-0655,2,5,NC11-0655
NC11-0657,1.5,1,NC11-0657
NC11-0661,3.2,1,NC11-0661
NC11-0668,1,1,NC11-0668
NC11-0686,2,1,NC11-0686
NC11-0688,2.7,4,NC11-0688
NC11-0692,2,1,NC11-0692
NC11-0714,1.6,3,NC11-0714
NC11-0716,1,1,NC11-0716
NC11-0720,1.3,2,NC11-0720
NC11-0721,2,1,NC11-0721
NC11-0723,1.8,2,NC11-0723
NC11-0725,2,1,NC11-0725
NC11-0730,3.4,7,NC11-0730
NC11-0738,1.1,2,NC11-0738
NC11-0741,1.2,2,NC11-0741
NC11-0747,1.8,1,NC11-0747
NC11-0752,1.5,1,NC11-0752
NC11-0756,2,1,NC11-0756
NC11-0757,1.3,1,NC11-0757
NC11-0761,2.1,3,NC11-0761
NC11-0762,1.7,1,NC11-0762
NC11-0777,0.5,1,NC11-0777
NC11-0779,1.9,3,NC11-0779
NC11-0786,2,2,NC11-0786
NC11-0790,0.8,1,NC11-0790
NC11-0797,2.2,3,NC11-0797
NC11-0805,2.2,7,NC11-0805
NC11-0821,1.5,1,NC11-0821
NC11-0824,2.8,1,NC11-0824
NC11-0825,2.5,5,NC11-0825
NC11-0856,2.9,2,NC11-0856
NC11-0863,2.1,5,NC11-0863
NC11-0870,0.5,1,NC11-0870
NC11-0878,1.5,1,NC11-0878
NC11-0897,1.5,1,NC11-0897
NC11-0899,3.7,1,NC11-0899
NC11-0901,2,1,NC11-0901
NC11-0903,2,1,NC11-0903
NC11-0924,2,1,NC11-0924
NC11-0925,2.2,2,NC11-0925
NC11-0956,1.9,2,NC11-0956
NC11-0957,1.7,2,NC11-0957
NC11-0959,1.8,6,NC11-0959
NC11-0960,2,1,NC11-0960
NC11-0964,2,1,NC11-0964
NC11-0965,1.2,1,NC11-0965
NC11-0967,1.8,1,NC11-0967
NC11-0969,3.2,1,NC11-0969
NC11-0970,1.8,6,NC11-0970
NC11-0975,1,1,NC11-0975
NC11-0977,2.7,1,NC11-0977
NC11-0979,3,2,NC11-0979
NC11-0980,2.2,7,NC11-0980
NC11-0982,1.4,5,NC11-0982
NC11-0983,3.1,6,NC11-0983
NC11-0984,1.7,1,NC11-0984
NC11-0987,1.3,1,NC11-0987
NC11-0999,1.6,2,NC11-0999
NC11-1000,1.2,4,NC11-1000
NC11-1002,1,1,NC11-1002
NC11-1003,2,3,NC11-1003
NC11-1004,2,1,NC11-1004
NC11-1005,2,1,NC11-1005
NC11-1011,2,1,NC11-1011
NC11-1042,1.8,2,NC11-1042
NC11-1045,0,1,NC11-1045
NC11-1046,2,1,NC11-1046
NC11-1049,2,1,NC11-1049
NC11-1054,1.8,1,NC11-1054
NC11-1056,2,2,NC11-1056
NC11-1057,1.6,1,NC11-1057
NC11-1071,1.8,2,NC11-1071
NC11-1078,2,3,NC11-1078
NC11-1080,3.8,1,NC11-1080
NC11-1081,1.8,2,NC11-1081
NC11-1082,3.3,1,NC11-1082
NC11-1084,2.9,2,NC11-1084
NC11-1108,2.8,7,NC11-1108
NC11-1125,2.3,1,NC11-1125
NC11-1127,1.6,1,NC11-1127
NC11-1133,1.7,1,NC11-1133
NC11-1152,1,1,NC11-1152
NC11-1169,2,1,NC11-1169
NC11-1180,3.1,2,NC11-1180
NC11-1191,2.3,4,NC11-1191
NC11-1206,1,1,NC11-1206
NC11-1223,1.8,1,NC11-1223
NC11-1224,2.3,1,NC11-1224
NC11-1240,0,1,NC11-1240
NC11-1246,2.7,7,NC11-1246
NC11-1247,2.3,9,NC11-1247
NC11-1250,3.2,2,NC11-1250
NC11-1261,1.9,3,NC11-1261
NC11-1264,1.3,2,NC11-1264
NC11-1265,2,1,NC11-1265
NC11-1268,2,1,NC11-1268
NC11-1274,1,1,NC11-1274
NC12-0003,1.5,1,NC12-0003
NC12-0009,3,1,NC12-0009
NC12-0011,2.3,1,NC12-0011
NC12-0026,2,1,NC12-0026
NC12-0029,1,9,NC12-0029
NC12-0030,1.8,2,NC12-0030
NC12-0035,2,1,NC12-0035
NC12-0036,2,1,NC12-0036
NC12-0037,1.8,2,NC12-0037
NC12-0042,1.3,1,NC12-0042
NC12-0045,1.7,1,NC12-0045
NC12-0049,1,1,NC12-0049
NC12-0051,1.1,3,NC12-0051
NC12-0052,1.8,2,NC12-0052
NC12-0055,2.3,1,NC12-0055
NC12-0060,1,1,NC12-0060
NC12-0067,1.7,1,NC12-0067
NC12-0070,1.4,2,NC12-0070
NC12-0076,2,2,NC12-0076
NC12-0082,2,1,NC12-0082
NC12-0089,2,1,NC12-0089
NC12-0091,2,1,NC12-0091
NC12-0094,2,1,NC12-0094
NC12-0096,0,1,NC12-0096
NC12-0102,2.2,2,NC12-0102
NC12-0103,1.7,1,NC12-0103
NC12-0105,3,1,NC12-0105
NC12-0106,1,1,NC12-0106
NC12-0107,2,1,NC12-0107
NC12-0123,4,1,NC12-0123
NC12-0129,1.9,3,NC12-0129
NC12-0134,1.3,1,NC12-0134
NC12-0137,1.5,2,NC12-0137
NC12-0140,2.7,1,NC12-0140
NC12-0151,2.3,1,NC12-0151
NC12-0165,2.2,2,NC12-0165
NC12-0168,2.7,1,NC12-0168
NC12-0187,2.5,2,NC12-0187
NC12-0188,2.2,2,NC12-0188
NC12-0190,2.2,3,NC12-0190
NC12-0191,4,1,NC12-0191
NC12-0198,2.3,1,NC12-0198
NC12-0202,2,1,NC12-0202
NC12-0203,2.7,1,NC12-0203
NC12-0205,1.5,2,NC12-0205
NC12-0209,3.3,1,NC12-0209
NC12-0212,2.8,2,NC12-0212
NC12-0219,2,3,NC12-0219
NC12-0220,3,1,NC12-0220
NC12-0228,2,2,NC12-0228
NC12-0236,3,1,NC12-0236
NC12-0238,2.3,1,NC12-0238
NC12-0246,2.3,1,NC12-0246
NC12-0247,3,1,NC12-0247
NC12-0249,3,1,NC12-0249
NC12-0255,3.3,1,NC12-0255
NC12-0257,1.7,1,NC12-0257
NC12-0258,1,1,NC12-0258
NC12-0259,2,1,NC12-0259
NC12-0262,3,1,NC12-0262
NC12-0267,3.7,1,NC12-0267
NC12-0268,1,2,NC12-0268
NC12-0271,1.3,1,NC12-0271
NC12-0274,3.3,1,NC12-0274
NC12-0281,1,1,NC12-0281
NC12-0282,2,1,NC12-0282
NC12-0284,1.3,3,NC12-0284
NC12-0289,1.3,1,NC12-0289
NC12-0292,1.7,1,NC12-0292
NC12-0295,0.7,2,NC12-0295
NC12-0309,2.2,2,NC12-0309
NC12-0311,2.3,2,NC12-0311
NC12-0324,0,1,NC12-0324
NC12-0332,1.7,1,NC12-0332
NC12-0344,3.7,2,NC12-0344
NC12-0347,1.5,3,NC12-0347
NC12-0360,2.7,1,NC12-0360
NC12-0370,0.3,1,NC12-0370
NC12-0371,1,2,NC12-0371
NC12-0377,1,1,NC12-0377
NC12-0378,3.3,1,NC12-0378
NC12-0381,1.4,3,NC12-0381
NC12-0385,2,1,NC12-0385
NC12-0415,1.3,1,NC12-0415
NC12-0422,3,1,NC12-0422
NC12-0428,3.3,1,NC12-0428
NC12-0447,1.3,1,NC12-0447
NC12-0449,1.3,1,NC12-0449
NC12-0502,2,1,NC12-0502
NC12-0509,3,1,NC12-0509
NC12-0510,2,1,NC12-0510
NC12-0521,1,1,NC12-0521
NC12-0532,2.7,2,NC12-0532
NC12-0535,1.3,1,NC12-0535
NC12-0539,2.5,12,NC12-0539
NC12-0540,2.3,1,NC12-0540
NC12-0548A,3,1,NC12-0548A
NC12-0576,1.8,2,NC12-0576
NC12-0580,3.8,2,NC12-0580
NC12-0589,2,1,NC12-0589
NC12-0591,1.7,2,NC12-0591
NC12-0594,2.3,1,NC12-0594
NC12-0597,1,1,NC12-0597
NC12-0598,1,1,NC12-0598
NC12-0600,3,1,NC12-0600
NC12-0602,3,1,NC12-0602
NC12-0606,2.7,1,NC12-0606
NC12-0638,3.7,1,NC12-0638
NC12-0641,2.4,7,NC12-0641
NC12-0642,2,1,NC12-0642
NC12-0643,2,1,NC12-0643
NC12-0650,1.3,1,NC12-0650
NC12-0652,2.7,1,NC12-0652
NC12-0657,2,1,NC12-0657
NC12-0665,2.2,3,NC12-0665
NC12-0675,1.9,2,NC12-0675
NC12-0682,2,2,NC12-0682
NC12-0683,2.7,1,NC12-0683
NC12-0684,2.9,2,NC12-0684
NC12-0693,3.5,2,NC12-0693
NC12-0696,2,1,NC12-0696
NC12-0709,3,1,NC12-0709
NC12-0715,1,2,NC12-0715
NC12-0717,1,1,NC12-0717
NC12-0723,1.8,3,NC12-0723
NC12-0726,1.7,1,NC12-0726
NC12-0733,2,1,NC12-0733
NC12-0737,3.3,1,NC12-0737
NC12-0742,0,1,NC12-0742
NC12-0745,3.2,5,NC12-0745
NC12-0749,2.7,1,NC12-0749
NC12-0762,2.5,1,NC12-0762
NC12-0764,2.7,1,NC12-0764
NC12-0765,2,1,NC12-0765
NC12-0788,1,1,NC12-0788
NC12-0793,2.2,5,NC12-0793
NC12-0800,3.5,2,NC12-0800
NC12-0801,2.3,1,NC12-0801
NC12-0802,1,1,NC12-0802
NC12-0803,1,2,NC12-0803
NC12-0809,2.4,3,NC12-0809
NC12-0820,2.8,2,NC12-0820
NC12-0829,3.3,3,NC12-0829
NC12-0830,2.8,2,NC12-0830
NC12-0839,2.3,3,NC12-0839
NC12-0840,2.7,1,NC12-0840
NC12-0863,1.5,2,NC12-0863
NC12-0865,2.7,1,NC12-0865
NC12-0890,2.7,1,NC12-0890
NC12-0904,3,1,NC12-0904
NC12-0910,2.5,7,NC12-0910
NC12-0912,2,1,NC12-0912
NC12-0923,2.3,1,NC12-0923
NC12-0926,1.8,2,NC12-0926
NC12-0933,3.7,1,NC12-0933
NC12-0934,3.1,7,NC12-0934
NC12-0938,0.9,2,NC12-0938
NC12-0940,2.7,1,NC12-0940
NC12-0943,0.3,1,NC12-0943
NC12-0948,2.8,3,NC12-0948
NC12-0949,3,1,NC12-0949
NC12-0950,3,1,NC12-0950
NC12-0951,3.5,1,NC12-0951
NC12-0955,2.3,1,NC12-0955
NC12-0957,3,1,NC12-0957
NC12-0959,2.9,2,NC12-0959
NC12-0967,4,1,NC12-0967
NC12-0971,3.7,1,NC12-0971
NC12-0973,3.3,1,NC12-0973
NC12-0976,2,1,NC12-0976
NC12-0988,2,1,NC12-0988
NC12-0993,2,1,NC12-0993
NC12-0997,3.3,1,NC12-0997
NC12-1004,1.7,1,NC12-1004
NC12-1006,3.3,1,NC12-1006
NC12-1009,2.3,1,NC12-1009
NC12-1025,0,1,NC12-1025
NC12-1048,0.7,1,NC12-1048
NC12-1054,2.2,2,NC12-1054
NC12-1056,2.7,1,NC12-1056
NC12-1057,3.7,1,NC12-1057
NC12-1060,3,1,NC12-1060
NC12-1065,2.3,1,NC12-1065
NC12-1078,2.7,1,NC12-1078
NC12-1097,3.3,1,NC12-1097
NC12-1146,2.3,1,NC12-1146
NC12-1149,3.8,6,NC12-1149
NC12-1160,2.3,1,NC12-1160
NC12-1178,2.1,2,NC12-1178
NC12-1184,3,1,NC12-1184
NC12-1195,2.2,2,NC12-1195
NC12-1216,4,1,NC12-1216
NC13-0005,2.2,4,NC13-0005
NC13-0011,1,1,NC13-0011
NC13-0013,2.35,6,NC13-0013
NC13-0017,1.1,4,NC13-0017
NC13-0067,0.8,1,NC13-0067
NC13-0078,2,1,NC13-0078
NC13-0094,2.7,1,NC13-0094
NC13-0099,1.2,1,NC13-0099
NC13-0100,1.8,3,NC13-0100
NC13-0141,1.2,1,NC13-0141
NC13-0150,1.1,4,NC13-0150
NC13-0151,1.9,6,NC13-0151
NC13-0157,3.3,1,NC13-0157
NC13-0158,1.2,1,NC13-0158
NC13-0160,2.5,1,NC13-0160
NC13-0163,2.7,1,NC13-0163
NC13-0168,3.5,1,NC13-0168
NC13-0184,1.8,1,NC13-0184
NC13-0187,0.2,1,NC13-0187
NC13-0204,1.5,1,NC13-0204
NC13-0222,0.7,1,NC13-0222
NC13-0254,3.4,4,NC13-0254
NC13-0280,1.9,3,NC13-0280
NC13-0332,1.3,1,NC13-0332
NC13-0333,1.5,4,NC13-0333
NC13-0370,3.6,3,NC13-0370
NC13-0383,2.3,9,NC13-0383
NC13-0405,2.5,2,NC13-0405
NC13-0410,1.7,2,NC13-0410
NC13-0481,2.5,1,NC13-0481
NC13-0487,3.5,4,NC13-0487
NC13-0490,1.4,6,NC13-0490
NC13-0496,1.9,3,NC13-0496
NC13-0508,3.7,1,NC13-0508
NC13-0604,2.2,2,NC13-0604
NC13-0613,1.75,5,NC13-0613
NC13-0639,3.7,1,NC13-0639
NC13-0703,3,1,NC13-0703
NC13-0821,1.8,1,NC13-0821
NC13-0825,2.9,3,NC13-0825
NC13-0828,2.2,1,NC13-0828
NC13-0831,2.3,3,NC13-0831
NC13-0835,2,1,NC13-0835
NC13-0846,2.4,1,NC13-0846
NC13-0909,1.3,4,NC13-0909
NC13-0934,0.7,1,NC13-0934
NC13-0977,2.5,1,NC13-0977
NC13-0990,2.3,2,NC13-0990
NC13-0992,1.4,7,NC13-0992
NC13-0994,2.8,1,NC13-0994
NC13-0994A,1.8,7,NC13-0994A
NC13-0994B,1.2,1,NC13-0994B
NC13-1001,1.4,11,NC13-1001
nc13-1004,3.8,1,nc13-1004
NC13-1004,3,15,NC13-1004
NC13-1006,2.2,5,NC13-1006
NC13-1007,0.7,2,NC13-1007
NC13-1010,1.8,5,NC13-1010
NC13-1012,1.7,6,NC13-1012
NC13-1014,2.8,5,NC13-1014
NC13-1019,1.9,2,NC13-1019
NC13-1022,3.3,1,NC13-1022
NC13-1027,2.6,22,NC13-1027
NC13-1027 M35,2.4,2,NC13-1027 M35
NC13-1027 M59,1.3,1,NC13-1027 M59
NC13-1027_M35,2.6,22,NC13-1027
NC13-1027_M48,2.6,22,NC13-1027
NC13-1027_M59,2.6,22,NC13-1027
NC13-1029,2.3,1,NC13-1029
NC13-1042,1.7,6,NC13-1042
NC13-1043,2.2,4,NC13-1043
NC13-1080,1.3,1,NC13-1080
NC13-1087,1.4,7,NC13-1087
NC13-1142,3,1,NC13-1142
NC13-1155,1.8,1,NC13-1155
NC13-1161,2,2,NC13-1161
NC13-1169,2.1,7,NC13-1169
NC13-1259,2.4,4,NC13-1259
NC14-0014,1.9,2,NC14-0014
NC14-0118,1.1,3,NC14-0118
NC14-0129,2,5,NC14-0129
NC14-0134,2.3,1,NC14-0134
NC14-0159,2.5,1,NC14-0159
NC14-0341,0.8,2,NC14-0341
nc14-0353,4,1,nc14-0353
NC14-0353,2.3,7,NC14-0353
NC14-0358,1.9,3,NC14-0358
NC14-0480,2,2,NC14-0480
NC14-0486,3.3,1,NC14-0486
NC14-0569,1.6,3,NC14-0569
NC14-0589,1.1,4,NC14-0589
NC14-0687,3.3,3,NC14-0687
NC15-0001,2.3,3,NC15-0001
nc15-0007,3,1,nc15-0007
NC15-0011,1.2,1,NC15-0011
NC15-0020,2.2,1,NC15-0020
NC15-0036,2,1,NC15-0036
NC15-0091,2,1,NC15-0091
NC15-0119,2,1,NC15-0119
NC15-0120,2,1,NC15-0120
NC15-0134,2.3,1,NC15-0134
NC15-0152,2.4,4,NC15-0152
NC15-0185,1.6,6,NC15-0185
NC15-0257,2.8,3,NC15-0257
NC15-0328,2.6,3,NC15-0328
NC15-0350,3.2,2,NC15-0350
NC15-0363,1.7,1,NC15-0363
NC15-0418,1.2,2,NC15-0418
NC15-0480,2.85,4,NC15-0480
NC15-0557,2,1,NC15-0557
NC15-0607,1.5,1,NC15-0607
nc15-0633,2.5,1,nc15-0633
NC15-0633,1.7,6,NC15-0633
NC15-0650,1.5,1,NC15-0650
NC15-0659,2.4,3,NC15-0659
NC15-0728B,2.8,5,NC15-0728B
NC1528,2.3,3,NC1528
NC16-0038,3.7,1,NC16-0038
NC16-0055,3,2,NC16-0055
NC16-0056,3.5,1,NC16-0056
NC16-0063,2,1,NC16-0063
NC16-0097,2.8,2,NC16-0097
NC16-0103,2,1,NC16-0103
NC16-0104,2.9,2,NC16-0104
NC16-0113,3.5,1,NC16-0113
NC16-0173,2.5,1,NC16-0173
nc16-0193,4,2,nc16-0193
NC16-0193,3.25,3,NC16-0193
NC16-0204,2.7,1,NC16-0204
NC16-0208,2.3,1,NC16-0208
NC16-0245,2.5,1,NC16-0245
NC16-0279,1.8,2,NC16-0279
NC16-0301,3.3,3,NC16-0301
NC16-0303,1.3,1,NC16-0303
NC16-0304,2.2,1,NC16-0304
NC16-0307,3.5,1,NC16-0307
NC16-0315,2.7,1,NC16-0315
NC16-0320,2.5,1,NC16-0320
NC16-0339,3.3,1,NC16-0339
NC16-0364,1.65,4,NC16-0364
NC16-0379,1.2,1,NC16-0379
NC16-0391,1.8,1,NC16-0391
NC16-0401,1.2,1,NC16-0401
NC16-0413,1.4,3,NC16-0413
NC16-0498,2,1,NC16-0498
NC16-0558,3,1,NC16-0558
NC16-0587,3,1,NC16-0587
NC16-0603,1,1,NC16-0603
NC16-0607,3.3,1,NC16-0607
nc16-0613,3.5,2,nc16-0613
NC16-0613,2.85,5,NC16-0613
NC16-0614,1.7,2,NC16-0614
nc16-0644,2.5,1,nc16-0644
NC16-0644,2.4,2,NC16-0644
NC16-0715,1.5,1,NC16-0715
NC16-0759,2,1,NC16-0759
NC16-0765,3.1,3,NC16-0765
NC16-0778,2.5,1,NC16-0778
NC16-0789,1.5,1,NC16-0789
NC16-0793,3,1,NC16-0793
nc16-0842,3,1,nc16-0842
NC16-0842,1.8,2,NC16-0842
nc16-0855,3.8,1,nc16-0855
NC16-0855,2.9,4,NC16-0855
nc16-0873,1.3,1,nc16-0873
NC16-0873,1,3,NC16-0873
NC16-0892,2.7,2,NC16-0892
NC16-0931,3.2,1,NC16-0931
nc16-0947,3,1,nc16-0947
NC16-0950,2.5,1,NC16-0950
NC16-0956,1.3,1,NC16-0956
NC16-0979,2.5,1,NC16-0979
NC16-1413,1.8,1,NC16-1413
NC16-653,2,1,NC16-653
NC17-0027,1,2,NC17-0027
nc17-0041,3,1,nc17-0041
NC17-0041,3.4,2,NC17-0041
nc17-0045,3,1,nc17-0045
nc17-0049,3,1,nc17-0049
NC17-0049,2.4,3,NC17-0049
nc17-0052,3,1,nc17-0052
NC17-0052,1.95,2,NC17-0052
nc17-0077,2.5,1,nc17-0077
NC17-0077,1.5,2,NC17-0077
NC17-0084,1,1,NC17-0084
NC17-0084 OR 89,2.5,1,NC17-0084 OR 89
nc17-0087,2.8,1,nc17-0087
NC17-0087,2.9,2,NC17-0087
nc17-0101,2.5,1,nc17-0101
NC17-0101,1.9,5,NC17-0101
nc17-0110,3.2,1,nc17-0110
nc17-0115,2.8,1,nc17-0115
nc17-0129,3.3,1,nc17-0129
NC17-0129,3.05,2,NC17-0129
nc17-0145,3,2,nc17-0145
NC17-0145,2.15,2,NC17-0145
NC17-0172,3,1,NC17-0172
NC17-0257,2.1,2,NC17-0257
NC17-0294,2.9,2,NC17-0294
nc17-0308,3.5,2,nc17-0308
NC17-0315,2,1,NC17-0315
nc17-0331,3.7,1,nc17-0331
NC17-0331,3.35,2,NC17-0331
NC17-0358,1.8,2,NC17-0358
nc17-0379,3,1,nc17-0379
nc17-0398,1,1,nc17-0398
NC17-0398,0,1,NC17-0398
nc17-0402,4,1,nc17-0402
NC17-0402,3,3,NC17-0402
nc17-0408,2.5,2,nc17-0408
nc17-0439,3.2,1,nc17-0439
NC17-0439,2.8,2,NC17-0439
nc17-0442,2.8,1,nc17-0442
NC17-0442,2.4,1,NC17-0442
NC17-0452,2.9,2,NC17-0452
nc17-0474,1,1,nc17-0474
NC17-0474,1.7,2,NC17-0474
nc17-0478,2.5,1,nc17-0478
NC17-0478,2.4,1,NC17-0478
nc17-0485,2.8,1,nc17-0485
NC17-0485,2,1,NC17-0485
nc17-0500,2.2,1,nc17-0500
NC17-0500,1.5,1,NC17-0500
nc17-0564,1.5,1,nc17-0564
NC17-0564,1.5,1,NC17-0564
NC17-0590,2.35,3,NC17-0590
NC17-0592,2,1,NC17-0592
nc17-0615,2.5,2,nc17-0615
NC17-0637,3.45,3,NC17-0637
NC17-0735,2.6,2,NC17-0735
nc17-0759,2,1,nc17-0759
NC17-0759,3.3,1,NC17-0759
nc17-0767,2.5,1,nc17-0767
NC17-0784,1.7,1,NC17-0784
NC1880,1.8,4,NC1880
NC317,2.1,3,NC317
nc413,3,1,nc413
NC413,2.3,28,NC413
NC417_8M,4,1,NC417
NC98-0419,1,1,NC98-0419
NC99-0026,2.3,2,NC99-0026
NCDM01-0158,2.1,3,NCDM01-0158
NCDM02-0105,2.5,2,NCDM02-0105
NCDM02-0124,2.7,2,NCDM02-0124
NCDM02-0180,3.2,5,NCDM02-0180
NCDM04-0001,2.7,11,NCDM04-0001
NCDM04-0051,3.2,3,NCDM04-0051
NCDM04-0146,2.1,3,NCDM04-0146
NCDM04-0197,2,8,NCDM04-0197
NCDM04-0226,3,2,NCDM04-0226
NCDM04-0261,3.3,3,NCDM04-0261
NCDM05-0001,3.7,1,NCDM05-0001
NCDM05-0022,2.3,1,NCDM05-0022
NCDM05-0122,2.3,1,NCDM05-0122
NCDM05-0132,3.2,6,NCDM05-0132
NCDM05-0153,2.3,2,NCDM05-0153
NCDM07-0034,2.8,3,NCDM07-0034
NCDM07-0047,3.2,1,NCDM07-0047
NCDM10-0004,2,1,NCDM10-0004
NCDM10-0006,3,1,NCDM10-0006
NCDM10-0013,3,1,NCDM10-0013
NCP-0224,3.2,1,NCP-0224
NCP04-0118,2.5,1,NCP04-0118
NCP05-0028,2,1,NCP05-0028
NCP06-0010,1.8,1,NCP06-0010
NCP06-0014,2.6,3,NCP06-0014
NCP06-0016,1.8,3,NCP06-0016
NCP06-0016YellowSport,3.5,1,NCP06-0016YellowSport
NCP06-0020,2.95,32,NCP06-0020
NCP06-0020 10M C1,2.6,2,NCP06-0020 10M C1
NCP06-0020_A1A,2.95,32,NCP06-0020
NCP06-0020A_24m,2.3,1,NCP06-0020A
NCP06-0020A#2,3,1,NCP06-0020A#2
NCP06-0020A1A,2.2,2,NCP06-0020A1A
NCP06-0020A2_4,3.7,1,NCP06-0020A2
NCP06-0020White,2,1,NCP06-0020White
NCP06-0028,2,1,NCP06-0028
NCP06-0048,1.8,4,NCP06-0048
NCP06-0058,2,1,NCP06-0058
NCP06-0061,2.4,1,NCP06-0061
NCP06-020,2.8,2,NCP06-020
NCP06-020A1A,3.7,1,NCP06-020A1A
NCP06-020White,2,1,NCP06-020White
NCP08-0004,2,1,NCP08-0004
NCP09-0001,3,1,NCP09-0001
NCP09-0005,1.8,1,NCP09-0005
NCP09-0013,2,1,NCP09-0013
NCP09-0022,1.6,3,NCP09-0022
NCP09-0026,1.5,1,NCP09-0026
NCP09-0027,2.8,8,NCP09-0027
NCP09-0030,2,1,NCP09-0030
NCP09-0045,2,2,NCP09-0045
NCP09-0059,2.2,1,NCP09-0059
NCP09-0060,2.8,11,NCP09-0060
NCP09-0069,3.2,4,NCP09-0069
NCP09-0076,2.8,2,NCP09-0076
NCP09-0088,1.8,2,NCP09-0088
NCP09-0089,2,5,NCP09-0089
NCP09-0099,4,2,NCP09-0099
NCP09-0104,2,1,NCP09-0104
NCP09-0107,3.1,18,NCP09-0107
NCP09-0109,2.9,2,NCP09-0109
NCP09-0111,2.8,3,NCP09-0111
NCP09-0113,3,1,NCP09-0113
NCP09-0118,2.6,3,NCP09-0118
